                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.84679,                0.90381,                   1.23,                0.74881,                0.69118,                0.75552,                0.50384,                 1.3153,                 1.3163,                 1.7241,               0.004456,               0.004456,               0.004456
                     86,                0.82735,                0.87827,                 1.1857,                0.80684,                0.70289,                0.77158,                0.51638,                 1.3087,                 1.3078,                 1.7693,                0.00439,                0.00439,                0.00439
                     87,                0.85397,                0.89388,                 1.2321,                0.72441,                0.73784,                0.76549,                0.53165,                  1.239,                 1.2693,                 1.6864,               0.004324,               0.004324,               0.004324
                     88,                0.82718,                0.86523,                 1.1978,                0.75403,                 0.6801,                0.74052,                0.49365,                 1.3337,                 1.3059,                 1.8122,               0.004258,               0.004258,               0.004258
                     89,                0.81888,                0.83323,                 1.1938,                 0.7586,                0.71893,                0.74848,                 0.5255,                 1.2903,                 1.2508,                 1.7772,               0.004192,               0.004192,               0.004192
                     90,                0.79384,                 0.8309,                 1.1888,                0.71171,                0.68936,                 0.7492,                0.52688,                 1.2644,                 1.2798,                 1.6882,               0.004126,               0.004126,               0.004126
                     91,                0.81807,                 0.8428,                  1.218,                0.77956,                 0.6451,                0.72455,                0.50856,                 1.2628,                 1.4189,                 1.6773,                0.00406,                0.00406,                0.00406
                     92,                 0.8493,                0.84227,                 1.2004,                0.68413,                0.63809,                0.69666,                0.47502,                 1.2492,                 1.4131,                 1.6497,               0.003994,               0.003994,               0.003994
                     93,                0.78595,                 0.8313,                 1.1686,                0.80605,                0.69252,                0.74503,                0.52217,                 1.2351,                 1.2578,                 1.6402,               0.003928,               0.003928,               0.003928
                     94,                0.83914,                0.86075,                 1.2133,                0.75032,                0.66473,                0.73102,                0.49911,                 1.2715,                 1.3538,                 1.7188,               0.003862,               0.003862,               0.003862
                     95,                0.85203,                0.85056,                 1.2039,                0.86311,                0.61648,                0.71789,                0.50106,                  1.257,                 1.4788,                 1.7459,               0.003796,               0.003796,               0.003796
                     96,                0.80938,                0.81232,                 1.1779,                0.80803,                0.68851,                0.74487,                0.52114,                 1.2277,                 1.3561,                 1.6779,                0.00373,                0.00373,                0.00373
                     97,                0.80453,                0.81685,                 1.1931,                0.71256,                 0.6916,                0.73655,                0.51357,                 1.2643,                 1.4211,                 1.7226,               0.003664,               0.003664,               0.003664
                     98,                0.81475,                0.79815,                 1.1825,                0.73147,                0.68458,                0.73595,                0.51471,                 1.2287,                 1.4129,                 1.6568,               0.003598,               0.003598,               0.003598
                     99,                0.77923,                0.77595,                 1.1659,                0.73662,                0.65277,                  0.716,                0.50252,                 1.2392,                 1.4142,                 1.6594,               0.003532,               0.003532,               0.003532
                    100,                0.77848,                0.75017,                   1.17,                0.72066,                0.72226,                0.75119,                0.52475,                 1.2657,                 1.3507,                 1.6808,               0.003466,               0.003466,               0.003466
                    101,                0.76451,                0.78839,                 1.1635,                0.81663,                0.65916,                0.75813,                0.53684,                 1.2238,                 1.2969,                 1.6556,                 0.0034,                 0.0034,                 0.0034
                    102,                0.76656,                0.79521,                 1.1706,                0.81344,                0.63877,                0.75896,                0.52607,                 1.2324,                 1.3166,                  1.686,               0.003334,               0.003334,               0.003334
                    103,                0.76773,                0.77348,                 1.1659,                0.90291,                0.60853,                0.73542,                0.52203,                 1.2492,                 1.3948,                  1.724,               0.003268,               0.003268,               0.003268
                    104,                 0.7536,                0.73528,                 1.1498,                0.76159,                0.65835,                0.73786,                0.53206,                 1.2201,                 1.3728,                 1.7093,               0.003202,               0.003202,               0.003202
                    105,                0.75857,                0.75941,                 1.1575,                0.75841,                 0.6707,                0.73931,                0.51897,                  1.262,                 1.4251,                 1.7766,               0.003136,               0.003136,               0.003136
                    106,                 0.7667,                0.78493,                 1.1827,                0.77518,                0.67141,                0.73848,                0.53711,                 1.2043,                 1.4258,                  1.687,                0.00307,                0.00307,                0.00307
                    107,                0.75593,                 0.7697,                   1.18,                0.74414,                0.69649,                0.72746,                 0.5284,                 1.1922,                 1.4216,                 1.6275,               0.003004,               0.003004,               0.003004
                    108,                0.79611,                0.79915,                 1.1715,                0.76749,                0.64996,                0.73093,                0.51812,                 1.1758,                 1.3242,                 1.6258,               0.002938,               0.002938,               0.002938
                    109,                0.77505,                0.76224,                 1.1511,                0.76195,                0.70245,                0.73511,                0.52003,                 1.1865,                 1.2992,                 1.6386,               0.002872,               0.002872,               0.002872
                    110,                0.77312,                0.74435,                 1.1591,                0.75327,                0.74069,                0.76209,                0.53719,                 1.2511,                 1.2608,                  1.724,               0.002806,               0.002806,               0.002806
                    111,                0.74687,                0.72983,                 1.1592,                0.76513,                0.74554,                 0.7644,                0.53667,                 1.2413,                  1.281,                 1.6943,                0.00274,                0.00274,                0.00274
                    112,                0.71778,                 0.6961,                 1.1332,                0.77516,                0.72624,                0.75221,                0.53669,                 1.2262,                 1.3328,                 1.7033,               0.002674,               0.002674,               0.002674
                    113,                0.76251,                 0.7542,                 1.1617,                  0.782,                0.67769,                0.75355,                0.54055,                 1.2145,                 1.3525,                 1.6983,               0.002608,               0.002608,               0.002608
                    114,                0.75284,                0.73988,                 1.1415,                 0.7806,                0.66909,                0.74184,                0.52698,                 1.2403,                 1.3518,                 1.7083,               0.002542,               0.002542,               0.002542
                    115,                0.74065,                0.70605,                 1.1387,                0.74457,                0.66111,                0.73148,                0.51501,                 1.2412,                 1.3174,                 1.7051,               0.002476,               0.002476,               0.002476
                    116,                0.74289,                0.72913,                 1.1519,                0.71138,                0.69913,                0.73481,                0.50697,                   1.27,                 1.3154,                 1.7863,                0.00241,                0.00241,                0.00241
                    117,                0.69087,                0.71382,                 1.1336,                0.73711,                0.71229,                0.74218,                0.50218,                 1.2753,                 1.3072,                 1.7985,               0.002344,               0.002344,               0.002344
                    118,                0.68959,                0.67131,                 1.1151,                0.68045,                0.68093,                0.70347,                0.49101,                 1.2342,                 1.4549,                 1.7346,               0.002278,               0.002278,               0.002278
                    119,                0.72081,                0.70713,                 1.1435,                0.77391,                0.66727,                0.74312,                0.51046,                 1.2386,                 1.2757,                 1.7522,               0.002212,               0.002212,               0.002212
                    120,                0.72141,                0.71147,                 1.1407,                0.74903,                 0.6881,                0.75443,                 0.5139,                 1.2227,                 1.2095,                 1.7333,               0.002146,               0.002146,               0.002146
                    121,                0.72824,                0.70523,                 1.1288,                0.79532,                0.66998,                0.74791,                0.51667,                 1.2023,                 1.2629,                 1.7159,                0.00208,                0.00208,                0.00208
                    122,                0.72819,                0.68578,                 1.1348,                0.82971,                0.67765,                0.75697,                0.53025,                 1.1858,                 1.2482,                  1.711,               0.002014,               0.002014,               0.002014
                    123,                0.68237,                0.67628,                 1.1135,                0.76691,                 0.7041,                0.73828,                0.51919,                  1.202,                 1.2963,                 1.7092,               0.001948,               0.001948,               0.001948
                    124,                0.68722,                0.67726,                 1.1253,                0.82475,                0.67722,                0.74292,                0.52351,                 1.1865,                 1.2539,                  1.656,               0.001882,               0.001882,               0.001882
                    125,                0.70231,                0.67372,                 1.1416,                0.78235,                0.69416,                0.74379,                0.52721,                 1.2132,                 1.3083,                  1.683,               0.001816,               0.001816,               0.001816
                    126,                0.73075,                0.71657,                 1.1417,                0.80288,                0.64597,                0.73735,                0.52248,                 1.2091,                 1.3337,                 1.6678,                0.00175,                0.00175,                0.00175
                    127,                  0.696,                0.66483,                 1.1116,                0.75416,                 0.6722,                0.74213,                0.53884,                 1.1879,                 1.2898,                  1.657,               0.001684,               0.001684,               0.001684
                    128,                0.68104,                0.64274,                 1.1094,                0.70346,                0.73796,                 0.7431,                0.54042,                 1.1758,                  1.312,                 1.6524,               0.001618,               0.001618,               0.001618
                    129,                0.67777,                0.64868,                 1.1064,                0.77837,                0.69696,                0.75697,                0.54198,                 1.1926,                 1.3178,                 1.6571,               0.001552,               0.001552,               0.001552
